player_name,pos,team,projection
Richard Sherman IR,CB,SF,82.5
Tre Boston,FS,CAR,82.5
Jason Pierre-Paul,OLB,TB,82.2
Marcus Williams,SS,NO,82
Damien Wilson,LB,KC,81.95
Frank Gore,RB,BUF,81.9
Mario Addison,OLB,CAR,81.85
Haason Reddick,OLB,ARI,81.5
Eddie Jackson,SS,CHI,81.1
Trae Waynes,CB,MIN,81
Shelby Harris,NT,DEN,80.8
Larry Ogunjobi,DT,CLE,80.5
Samson Ebukam,OLB,LAR,80.2
T.Y. Hilton,WR,IND,80.1
Kenny Stills Q,WR,HOU,80.1
Jordan Whitehead,SS,TB,80
Brian Poole IR,CB,NYJ,80
Patrick Onwuasor,OLB,BAL,79.8
Jordan Jenkins,OLB,NYJ,79.7
Justin Coleman,CB,DET,79.5
Alshon Jeffery,WR,PHI,79.2
Fletcher Cox,DT,PHI,79.15
Trent Murphy,DE,BUF,78.7
Danny Amendola Q,WR,DET,78.56
Nicholas Morrow,OLB,LV,78
Ifeadi Odenigbo,DE,MIN,77.7
Jarrad Davis Q,ILB,DET,77.5
Lorenzo Alexander,OLB,BUF,77.3
Lawrence Guy,DE,NE,77.1
Adam Vinatieri,K,IND,77
Damontae Kazee IR,SS,ATL,77
Jason Witten,TE,DAL,76.9
Dwayne Haskins Jr.,QB,WAS,76.7
Darren Fells,TE,HOU,76.1
Brian Burns,OLB,CAR,75.9
Xavier Rhodes,CB,MIN,75.5
Brandin Cooks,WR,LAR,75.5
Vernon Hargreaves III,CB,HOU,75.5
Anthony Miller,WR,CHI,75.5
Lorenzo Carter IR,OLB,NYG,75.45
Jurrell Casey,DE,TEN,75.2
Kerryon Johnson,RB,DET,75
Michael Bennett,DE,DAL,74.95
Kyle Rudolph,TE,MIN,74.7
Desmond King II,FS,LAC,74.2
Nik Needham,CB,MIA,74.2
Tony Pollard,RB,DAL,74.2
Danny Trevathan,ILB,CHI,74.1
Rex Burkhead O,RB,NE,74.1
Rashaan Melvin,CB,DET,74
Bobby Okereke,ILB,IND,73.2
Sean Murphy-Bunting,CB,TB,73.2
Drue Tranquill IR,ILB,LAC,73
Boston Scott,RB,PHI,72.9
Patrick Peterson,CB,ARI,72.8
Javon Hargrave,DT,PIT,72.65
Darryl Roberts IR,CB,NYJ,72.5
Marcus Davenport,DE,NO,72.5
Corey Davis,WR,TEN,72.1
Michael Brockers,DT,LAR,72.05
Tashaun Gipson Sr.,FS,HOU,72
C.J. Gardner-Johnson,SS,NO,72
Damarious Randall,FS,CLE,71.8
Vince Biegel IR,LB,MIA,71.8
Phillip Dorsett II IR,WR,NE,71.8
